cp_id,cp_state,district_id,address_en,address2_en,address_tc,address2_tc,address_sc,address2_sc,lat,lgt,waste_type,legend,accessibilty_notes,contact_en,contact_tc,contact_sc,openhour_en,openhour_tc,openhour_sc,GeometryLongitude,GeometryLatitude
338,Accepted,Tuen_Mun,At Side Of Tsing Yi Street Rcp (near Castle Peak Villa),,青怡街垃圾收集站側(近青山別墅),,青怡街垃圾收集站侧（近青山别墅）,,22.365304,114.006028,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.00602800000001,22.365304000000037
339,Accepted,Tuen_Mun,Tsing Chuen Wai (1),,青磚圍(1),,青砖围(1),,22.422490,113.982960,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98296000000005,22.42249000000004
343,Accepted,Tuen_Mun,Lung Kwu Tan Seashore (near Lung Kwu Tan Village Management Office),,龍鼓灘海邊(近龍鼓灘村公所),,龙鼓滩海边(近龙鼓滩村公所),,22.390652,113.920099,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.92009900000005,22.390652000000046
347,Accepted,Tuen_Mun,"Near Staircase Area, Yip Wang Road",,業旺路樓梯口附近,,业旺路楼梯口附近,,22.391245,113.968072,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.968072,22.391245000000026
357,Accepted,Tuen_Mun,Pavement At Side Of Chung Uk Tsuen Refuse Collection Point (tm-33),,鍾屋村垃圾站(TM-33)旁行人路,,钟屋村垃圾站(TM-33)旁行人路,,22.428936,113.991925,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99192500000004,22.42893600000008
361,Accepted,Tuen_Mun,"Entrance Of Siu Hang Tsuen Rcp, Tuen Mun",,屯門小坑村垃圾收集站 (近入口),,屯门小坑村垃圾收集站 (近入口),,22.413979,113.971701,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,,113.97170100000005,22.41397900000004
363,Accepted,Tuen_Mun,"Near Entrance Of Lo Tsing Shan Tsuen At So Kwun Wat Road, Tuen Mun",,掃管笏路近老青山村入口,,扫管笏路近老青山村入口,,22.375684,113.999681,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99968100000001,22.375684000000035
380,Accepted,Tuen_Mun,"At Side Of Kar Wo Lei Tsuen Rcp(tm-47), Castle Peak Road, Tuen Mun, N.T.",,新界屯門青山公路嘉和里村垃圾站(TM-47)旁,,新界屯门青山公路嘉和里村垃圾站(TM-47)旁,,22.370089,113.995358,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99535800000001,22.370089000000064
381,Accepted,Tuen_Mun,Fuk Hang Tsuen Refuse Collection Point (tm-17) At Fuk Hang Tsuen Near Fuk Yam School,,福亨村垃圾站 (TM-17)，福亨村近福音學校,,福亨村垃圾站 (TM-17)，福亨村近福音学校,,22.418090,113.993041,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99304100000006,22.418090000000063
382,Accepted,Tuen_Mun,Fuk Hang Tsuen Road (near Village Office) Refuse Collection Point (tm-18) At Fuk Hang Tsuen Road Near Village Office,,福亨村路(近鄉村辦事處)垃圾站 (TM-18)，福亨村路近鄉村辦事處,,福亨村路(近乡村办事处)垃圾站 (TM-18)，福亨村路近乡村办事处,,22.416831,113.988959,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98895900000002,22.41683100000006
383,Accepted,Tuen_Mun,"Castle Peak Road Lam Tei Refuse Collection Point (tm-19) At Lam Tei Bus Stop, Castle Peak Road",,青山公路藍地垃圾站 (TM-19)，青山公路藍地巴士站,,青山公路蓝地垃圾站 (TM-19)，青山公路蓝地巴士站,,22.418405,113.982521,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98252100000002,22.418405000000064
384,Accepted,Tuen_Mun,To Yuen Wai Refuse Collection Point (tm-20) At To Yuen Wai,,桃園圍垃圾站 (TM-20)，桃園圍,,桃园围垃圾站 (TM-20)，桃园围,,22.413865,113.981593,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98159300000009,22.413865000000044
385,Accepted,Tuen_Mun,"Castle Peak Road Po Yuen Refuse Collection Point (tm-23) At Po Yuen, Castle Peak Road",,青山公路寶園垃圾站 (TM-23)，青山公路寶園,,青山公路宝园垃圾站 (TM-23)，青山公路宝园,,22.426875,113.989227,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98922700000003,22.426875000000052
386,Accepted,Tuen_Mun,Kei Lun Wai Refuse Collection Point (tm-24) At Kei Lun Wai,,麒麟圍垃圾站 (TM-24)，麒麟圍,,麒麟围垃圾站 (TM-24)，麒麟围,,22.411515,113.976269,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.97626900000012,22.411515000000065
388,Accepted,Tuen_Mun,"Tsing Shan Tsuen Hing Choi Street Refuse Collection Point (tm-26) At Tsing Shan Tsuen, Hing Choi Street",,青山村興財街垃圾站 (TM-26)，興財街青山村,,青山村兴财街垃圾站 (TM-26)，兴财街青山村,,22.392358,113.966077,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.96607700000004,22.39235800000006
389,Accepted,Tuen_Mun,Tsing Chuen Wai (2),,青磚圍(2),,青砖围(2),,22.422540,113.983070,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98307000000011,22.422540000000026
391,Accepted,Tuen_Mun,Sun Fung Wai Refuse Collection Point (tm-30) At Sun Fung Wai,,順風圍垃圾站 (TM-30)，順風圍,,顺风围垃圾站 (TM-30)，顺风围,,22.425447,113.988551,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98855100000003,22.425447000000077
392,Accepted,Tuen_Mun,"Underneath Footbridge At Castle Peak Road, Hung Shui Kiu Near Bus Stop",,青山公路-洪水橋段近天橋底，巴士站附近,,青山公路-洪水桥段近天桥底，巴士站附近,,22.424044,113.987194,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98719400000004,22.424044000000038
396,Accepted,Tuen_Mun,Chung Wong Toi Refuse Collection Poinit (tm-38) At Chung Wong Toi,,頌皇臺垃圾站 (TM-38)，頌皇臺,,颂皇台垃圾站 (TM-38)，颂皇台,,22.405149,113.985813,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98581300000001,22.40514900000005
397,Accepted,Tuen_Mun,"Wong Ka Wai Refuse Collection Point (tm-39) At Wong Ka Wai, Area 36b",,皇家圍垃圾站 (TM-39)，皇家圍36B區,,皇家围垃圾站 (TM-39)，皇家围36B区,,22.400341,113.979716,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.97971600000005,22.400341000000026
400,Accepted,Tuen_Mun,So Kwun Wat (near So Kwun Wat Primary School) Refuse Collection Point (tm-45) At So Kwun Wat Near So Kwun Wat Primary School,,掃管笏路(近掃管笏公立學校)垃圾站 (TM-45)，掃管笏路(近掃管笏公立學校),,扫管笏路(近扫管笏公立学校)垃圾站 (TM-45)，扫管笏路(近扫管笏公立学校),,22.376481,114.004153,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.00415300000009,22.37648100000007
404,Accepted,Tuen_Mun,"Tai Lam Chung On Lok Tsuen Refuse Collection Point (tm-52) At On Lok Tsuen, Tai Lam Chung",,大欖涌安樂村垃圾站 (TM-52)，大欖涌安樂村,,大榄涌安乐村垃圾站 (TM-52)，大榄涌安乐村,,22.362799,114.021343,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02134300000012,22.362799000000052
406,Accepted,Tuen_Mun,Wong Uk Tsuen Refuse Collection Point (tm-54) At Wong Uk Tsuen,,黃屋村垃圾站 (TM-54)，黃屋村,,黄屋村垃圾站 (TM-54)，黄屋村,,22.364002,114.022571,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02257100000008,22.364002000000028
408,Accepted,Tuen_Mun,Tin Sum San Tsuen Rcp (tm-75),,田心新村垃圾收集站 (TM-75),,田心新村垃圾收集站 (TM-75),,22.431293,113.992412,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99241200000006,22.43129300000004
409,Accepted,Tuen_Mun,Tsz Tin Tsuen (at Side Of Playground) Refuse Collection Point (tm-59) At Tsz Tin Tsuen At Side Of Playground,,紫田村(遊樂場邊)垃圾站 (TM-59)，紫田村遊樂場邊,,紫田村(游乐场边)垃圾站 (TM-59)，紫田村游乐场边,,22.415973,113.975109,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.97510900000009,22.415973000000065
415,Accepted,Tuen_Mun,Lung Kwu Tan Tsuen Bus Stop Refuse Collection Point (tm-80) At Lung Kwu Tan Tsuen Bus Stop,,龍鼓灘村巴士站垃圾站 (TM-80)，龍鼓灘村巴士站,,龙鼓滩村巴士站垃圾站 (TM-80)，龙鼓滩村巴士站,,22.386547,113.921042,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.92104200000006,22.386547000000064
420,Accepted,Tuen_Mun,Kwong Tin Street Refuse Collection Point At Kwong Tin Street,,廣田街垃圾站，廣田街,,广田街垃圾站，广田街,,22.427120,113.993234,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99323400000003,22.42712000000006
429,Accepted,Yuen_Long,Junction Of Tai Tong Road And Ma Tong Road,,大棠路與馬棠路交界,,大棠路与马棠路交界,,22.440619,114.029545,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.0295450000001,22.440619000000027
440,Accepted,Yuen_Long,Open Space Opposite To Kam Tin Market Public Toilet,,錦田街市公廁對面的空地,,锦田街市公厕对面的空地,,22.440325,114.065571,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.06557100000009,22.44032500000003
443,Accepted,Yuen_Long,At Side Of Lau Fau Shan Roundabout Public Toilet,,流浮山迴旋處公廁旁,,流浮山回旋处公厕旁,,22.466512,113.983916,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.98391600000002,22.466512000000023
446,Accepted,Yuen_Long,At Side Of Tai San Wai Rcp (yl-143),,大生圍村垃圾站旁 (YL-143),,大生围村垃圾站旁 (YL-143),,22.470864,114.044320,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.04432000000008,22.470864000000063
447,Accepted,Yuen_Long,At Side Of Ping Shan San Tsuen Rcp,,屏山新村垃圾站旁,,屏山新村垃圾站旁,,22.441996,114.007851,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.00785100000007,22.441996000000074
458,Accepted,Yuen_Long,Pin Hong Lane Near Oil Station,,屏康里華潤油站旁,,屏康里华润油站旁,,22.440452,114.011362,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.01136200000008,22.44045200000005
459,Accepted,Yuen_Long,"Open Space Near Entrance Road Of Kiu Tau Wai, Ping Shan, Yuen Long",,元朗屏山橋頭圍入口附近空地,,元朗屏山桥头围入口附近空地,,22.442266,114.004744,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.00474400000007,22.442266000000075
460,Accepted,Yuen_Long,"Open Space In Front Of Village Office, San Wai Tsuen, San Tin, Yuen Long",,元朗新田新圍村村公所外面空地,,元朗新田新围村村公所外面空地,,22.472231,114.056249,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.0562490000001,22.472231000000022
462,Accepted,Yuen_Long,Sik Kong Tsuen Public Toilet,,鍚降村公廁側,,钖降村公厕侧,,22.450057,113.993419,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99341900000002,22.450057000000072
463,Accepted,Yuen_Long,At Side Of Tze Tong Tsuen Rcp (yl-165),,祠堂村垃圾站(YL-165)側,,祠堂村垃圾站(YL-165)侧,,22.438340,114.064840,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.06484000000012,22.43834000000004
470,Accepted,Yuen_Long,"Shek Po Road Rcp Near Aqua Privy, Hung Shui Kiu (yl-97)",,洪水橋石埗路垃圾收集站 (近旱廁) (YL-97),,洪水桥石埗路垃圾收集站 (近旱厕) (YL-97),,22.437639,113.994903,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99490300000002,22.437639000000047
471,Accepted,Yuen_Long,"Ha Yau Tin Tsuen Rcp , Yau Tin West Road, Shap Pat Heung (yl-7)",,十八鄉攸田西路下攸田村垃圾收集站 (YL-7),,十八乡攸田西路下攸田村垃圾收集站 (YL-7),,22.439027,114.037931,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.03793100000007,22.439027000000067
473,Accepted,Yuen_Long,"Vicinity Of Pavilion At Side Of Bus Stop K66, Wong Nai Tun Tsuen, Yuen Long",,元朗黃泥墩村 K66 巴士總站涼亭附近,,元朗黄泥墩村 K66 巴士总站凉亭附近,,22.416194,114.021895,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02189500000009,22.416194000000075
474,Accepted,Yuen_Long,"Rcp At Nam Bin Wai (yl-213), Yuen Long",,元朗南邊圍垃圾收集站 (YL-213),,元朗南边围垃圾收集站 (YL-213),,22.447520,114.034070,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.03407000000004,22.447520000000054
476,Accepted,Yuen_Long,At Side Of San Wai (ha Tsuen) Rcp (yl－128),,新圍 ( 廈村 ) 垃圾收集站 ( YL－128 ) 側,,新围 ( 厦村 ) 垃圾收集站 ( YL－128 ) 侧,,22.450595,113.990600,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99060000000009,22.450595000000078
477,Accepted,Yuen_Long,"Yeung Hau Temple, Ping Shan",,屏山楊侯古廟,,屏山杨侯古庙,,22.446026,114.007914,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.00791400000003,22.446026000000074
479,Accepted,Yuen_Long,"Rcp Yl-94, Tong Fong Tsuen, Ping Shan",,屏山塘坊村 YL-94 垃圾收集站,,屏山塘坊村 YL-94 垃圾收集站,,22.443885,114.006697,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.00669700000003,22.443885000000023
485,Accepted,Yuen_Long,"Rcp Yl-114, Tan Kwai Yuen",,丹桂苑 YL-114 垃圾收集站,,丹桂苑 YL-114 垃圾收集站,,22.428623,113.996446,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.9964460000001,22.428623000000073
486,Accepted,Yuen_Long,"Outside San Sang Tsuen Public Toilet, Yuen Long",,新生村公廁(YL-117)外,,新生村公厕(YL-117)外,,22.439373,113.991597,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,113.99159700000007,22.439373000000046
488,Accepted,Yuen_Long,At Side Of Wong Uk Tsuen Rcp (yl-11),,元朗十八鄉黃屋村垃圾收集站(YL-11)旁,,元朗十八乡黄屋村垃圾收集站(YL-11)旁,,22.446389,114.039444,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.03944400000012,22.446389000000067
489,Accepted,Yuen_Long,At Side Of Tai Tong Tsuen (roundabout) Rcp (yl-8),,大棠村迴旋處垃圾收集站(YL-8)旁,,大棠村回旋处垃圾收集站(YL-8)旁,,22.418050,114.025450,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02545000000009,22.41805000000005
491,Accepted,Yuen_Long,At Side Of Tin Lui Tsuen Rcp (yl-20),,田寮村垃圾收集站(YL-20)旁,,田寮村垃圾收集站(YL-20)旁,,22.432430,114.024180,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02418000000011,22.432430000000068
492,Accepted,Yuen_Long,"At Side Of Shui Chiu San Tsuen Inside Rcp (yl-38), Shap Pak Heung",,十八鄉水蕉新村內垃圾收集站(YL-38)旁,,十八乡水蕉新村内垃圾收集站(YL-38)旁,,22.425633,114.027442,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02744200000006,22.42563300000006
494,Accepted,Yuen_Long,"At Side Of Notice Board Near Tai Shui Ha Public Toilet (yl-24), Tai Shui Ha Road East",,大樹下東路大樹下公廁旁近告示板,,大树下东路大树下公厕旁近告示板,,22.429160,114.033880,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.03388000000007,22.429160000000024
496,Accepted,Yuen_Long,At Side Of Fung Chi Tsuen Rcp,,鳳池村垃圾收集站旁,,凤池村垃圾收集站旁,,22.447797,114.020611,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02061100000003,22.447797000000037
502,Accepted,Yuen_Long,"Kam Sheung Road Rcp (yl-57), Pat Heung",,八鄉錦上路垃圾收集站(YL-57),,八乡锦上路垃圾收集站(YL-57),,22.428450,114.084400,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.08440000000007,22.428450000000055
504,Accepted,Yuen_Long,"Kam Sheung Road, At Side Of Wing Hing Wai Bin Site, Pat Heung",,八鄉錦上路永慶圍垃圾桶站旁,,八乡锦上路永庆围垃圾桶站旁,,22.430080,114.094120,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.09412000000009,22.430080000000032
505,Accepted,Yuen_Long,Tai Shu Ha Road East Behind Lamp Post Fb0599,,大樹下東路FB0599電燈柱後面,,大树下东路FB0599电灯柱后面,,22.425650,114.037450,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.03745000000004,22.425650000000076
509,Accepted,Yuen_Long,"Kam Tin Hang Tau Bar Rcp (yl-19) At Hang Tau Bar, Kam Tin",,錦田坑頭霸 (YL-19)，錦田坑頭霸,,锦田坑头霸 (YL-19)，锦田坑头霸,,22.423912,114.076908,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.07690800000012,22.42391200000003
510,Accepted,Yuen_Long,Shui Chiu Lo Wai Rcp (yl-22) At Shui Chiu Lo Wai,,水蕉老圍垃圾站 (YL-22)，水蕉老圍,,水蕉老围垃圾站 (YL-22)，水蕉老围,,22.425410,114.031640,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.03164000000004,22.425410000000056
512,Accepted,Yuen_Long,"Nam Hang Pai Rcp 2 (yl-26) At Nam Hang Pai Rcp 2, Outside Tai Tong Garden",,大棠花園外南坑排3站垃圾站 (YL-26)，大棠花園外南坑排3站,,大棠花园外南坑排3站垃圾站 (YL-26)，大棠花园外南坑排3站,,22.422779,114.031237,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.03123700000003,22.422779000000048
513,Accepted,Yuen_Long,Shui Chiu San Tsuen Rcp (yl-27),,水蕉新村垃圾站 (YL-27),,水蕉新村垃圾站 (YL-27),,22.422266,114.028630,"Glass Bottles,Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02863000000002,22.422266000000036
514,Accepted,Yuen_Long,Shui Tau Tsuen Rcp 2 (yl-28) At Shui Tau Tsuen Rcp 2,,水頭村二站垃圾站 (YL-28)，水頭村二站,,水头村二站垃圾站 (YL-28)，水头村二站,,22.445774,114.062692,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.06269200000008,22.44577400000003
517,Accepted,Yuen_Long,Lui Kung Tin Rcp (yl-31) At Lui Kung Tin,,雷公田垃圾站 (YL-31)，雷公田,,雷公田垃圾站 (YL-31)，雷公田,,22.426925,114.104813,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.10481300000004,22.42692500000004
518,Accepted,Yuen_Long,"Tin Lui Tsuen Rcp (yl-32) At Tin Lui Tsuen, Tai Tong Road",,大棠道田寮村垃圾站 (YL-32)，大棠道田寮村,,大棠道田寮村垃圾站 (YL-32)，大棠道田寮村,,22.431570,114.028530,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.02853000000005,22.431570000000022
527,Accepted,Yuen_Long,Sai Bin Wai Rcp (yl-49) At Sai Bin Wai,,西邊圍垃圾站 (YL-49)，西邊圍,,西边围垃圾站 (YL-49)，西边围,,22.447335,114.031154,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.03115400000002,22.447335000000066
530,Accepted,Yuen_Long,"Sheung Tsuen Ku Miu Rcp 1 (yl-53) At Sheung Tsuen Ku Miu Rcp 1, At Side Of A/p 54",,上村YL-54旱厠側古廟垃圾站 (YL-53)，上村YL-54旱厠側古廟,,上村YL-54旱厕侧古庙垃圾站 (YL-53)，上村YL-54旱厕侧古庙,,22.432740,114.101050,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.1010500000001,22.432740000000024
531,Accepted,Yuen_Long,Ta Shek Wu Rcp (yl-151) At Ta Shek Wu,,打石湖垃圾站 (YL-151)，打石湖,,打石湖垃圾站 (YL-151)，打石湖,,22.463396,114.107283,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.10728300000005,22.463396000000046
532,Accepted,Yuen_Long,Lo Uk Tsuen Rcp (yl-59) At Lo Uk Tsuen,,羅屋村垃圾站 (YL-59)，羅屋村,,罗屋村垃圾站 (YL-59)，罗屋村,,22.439240,114.093392,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.09339200000011,22.43924000000004
534,Accepted,Yuen_Long,Sheung Che Tsuen Rcp (yl-62) At Sheung Che Tsuen,,上輋村垃圾站 (YL-62)，上輋村,,上輋村垃圾站 (YL-62)，上輋村,,22.448580,114.096943,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.09694300000001,22.44858000000005
536,Accepted,Yuen_Long,"Shui Kan Shek Tsuen Rcp (yl-64) At Shui Kan Shek Tsuen, Fan Kam Road",,水澗石村垃圾站 (YL-64)，水澗石村,,水涧石村垃圾站 (YL-64)，水涧石村,,22.452250,114.098470,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.09847000000002,22.45225000000005
540,Accepted,Yuen_Long,Wing Ning Lee (entrance) Rcp (yl-68) At Wing Ning Lee (entrance),,永寧里入口垃圾站 (YL-68)，永寧里入口,,永宁里入口垃圾站 (YL-68)，永宁里入口,,22.442980,114.092740,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.09274000000005,22.442980000000034
541,Accepted,Yuen_Long,Srithai Feed Co. Rcp (yl-69) Opposite To Srithai Feed Co.,,是泰公司對面垃圾站 (YL-69)，是泰公司對面,,是泰公司对面垃圾站 (YL-69)，是泰公司对面,,22.441970,114.090480,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.09048000000007,22.441970000000026
542,Accepted,Yuen_Long,Ko Po Tsuen Rcp (yl-70) At Ko Po Tsuen,,高埔村垃圾站 (YL-70)，高埔村,,高埔村垃圾站 (YL-70)，高埔村,,22.441432,114.056781,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.05678100000011,22.441432000000077
543,Accepted,Yuen_Long,Ng Ka Tsuen (inside) Rcp (yl-71) At Ng Ka Tsuen (inside),,吳家村內垃圾站 (YL-71)，吳家村內,,吴家村内垃圾站 (YL-71)，吴家村内,,22.438070,114.069950,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,,114.06995000000006,22.43807000000004
